Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
POROMA ÉCRINO	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
POSTECTOMIA	 18.334,94 	 39.808,45 	 16.531,54 	 38.244,33 	 2.362,50 	 4.341,37 	 37.228,98 	 82.394,16 	 98.925,70 
POSTECTOMIA + HERNIORRAFIA UMBILICAL (CIRURGIA MULTIPLA)	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
POSTECTOMIA + ORQUIDOPEXIA DIREITA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
POSTECTOMIA. COD.01	 1.044,77 	 1.904,59 					 1.044,77 	 1.904,59 	 1.904,59 
PREVENTIVA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
PREVENTIVA DO ARCO CIRÚRGICO	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
PROCED: CIRGIA MULTIPLA (REIMPLANTE VESICO URETERAL A E ASSOCIADO A HIDRONEFROSE)	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PROCTOCOLECTOMIA TOTAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PROCTOCOLECTOMIA VIDEOLAPAROSCÓPICA TOTAL  COM BOLSA EM J	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PROCTOPLASTIA + PROCTORRAFIA POR VIA PERINEAL 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
PROLAPSO DE PAREDE POSTERIOR - RETOCELE	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
PROSTATECTOMIA EM ONCOLOGIA	 635,51 	 2.058,56 	 537,05 	 1.408,15 			 1.172,56 	 3.466,71 	 4.003,76 
PROSTATECTOMIA EM ONCOLOGIA 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PROSTATECTOMIA RADICAL	 537,05 	 1.408,15 					 537,05 	 1.408,15 	 1.408,15 
PROSTATECTOMIA SUPRA PUBICA	 272,97 	 532,20 	 771,80 	 1.372,39 			 1.044,77 	 1.904,59 	 2.676,39 
PROSTATECTOMIA SUPRAPUBICA	 1.710,66 	 3.300,42 	 353,41 	 618,83 			 2.064,07 	 3.919,25 	 4.272,66 
PROSTATOVESICULECTOMIA RADICAL	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PROSTATOVESICULECTOMIA RADICAL EM ONCOLOGIA	 1.074,09 	 2.816,30 	 1.074,09 	 2.816,30 			 2.148,19 	 5.632,59 	 6.706,69 
PROSTATOVESICULECTOMIA RADICAL EM ONCOLOGIA 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PRÓTESE DE JOELHO /GORNATROSE AVANÇADA					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
PTOSE PALPEBRAL DIRETO			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
PUNÇÃO DA TIREOIDE			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
PUNÇAO DE ABCESSO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PUNÇÃO ENDOSCÓPICA URETROCELE À DIREITA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
PUNÇÃO PARA ESVAZIAMENTO			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
PUNÇÃO PLEURAL	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
QUADRANTECTOMIA/SETORECTOMIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RADIOABLAÇÃO DE TUMOR DE FÍGADO			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
RAFIA DE SUTURA ESOFAGICA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
RÂNULA GLÂNDULA SALIVAR	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RASSI PSEUDO ARTROSE DE CLAVICULA			 903,45 	 1.231,99 			 903,45 	 1.231,99 	 2.135,44 
RATAMENTO CIRÚRGICO DE VARIZES UNILATERAL GG ( ESQUERDA)	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
REABORDAGEM 					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
REABORDAGEM DE COTO DE AMPUTAÇAO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
REABORDAGEM DE COTO DE AMPUTAÇÃO	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
REABORDAGEM EM CICATRIZ CIRURGICA (DERMOLIPECTOMIA)	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
REABORDAGEM EM CICATRIZ CIRURGICA (MAMOPLASTIA)	 1.059,18 	 3.430,94 	 211,84 	 686,19 			 1.271,02 	 4.117,12 	 4.328,96 
RECONSTRUCAO COM RETALHO MIOCUTANEO (QUALQUER PARTE) EM ONCOLOGIA	 312,20 	 1.231,02 	 211,84 	 686,19 			 524,03 	 1.917,20 	 2.129,04 
RECONSTRUÇÃO DE COMPLEXO AREOLO PAPILAR + REFINAMENTO DE CICATRIZ MAMÁRIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RECONSTRUÇÃO DE COURO CABELUDO			 423,67 	 1.372,37 			 423,67 	 1.372,37 	 1.796,05 
RECONSTRUCAO DE LOBULO DA ORELHA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RECONSTRUÇÃO DE MAMA COM RETALHO DORSAL + PRÓTESE			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
RECONSTRUÇÃO DE MAMA E 2º TEMPO GRANDE DORSAL + PROTESE	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RECONSTRUÇÃO DE ORELHA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RECONSTRUÇÃO DE RETALHO MIOCUTÂNEO DO RETO ABDOMINAL	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
RECONSTRUÇÃO DE TENDÃO PATELAR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RECONSTRUÇÃO DE TRANSITO					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
RECONSTRUÇÃO DE TRÂNSITO	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
RECONSTRUÇÃO DE TRANSITO INTESTINAL			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
RECONSTRUÇÃO DE TRÂNSITO INTESTINAL	 451,73 	 615,99 	 271,03 	 491,96 	 225,86 	 308,00 	 948,62 	 1.415,96 	 1.686,99 
RECONSTRUÇÃO DE TRANSITO INTESTINAL (COLOSTOMIA A HARTMAN)	 677,59 	 923,99 					 677,59 	 923,99 	 923,99 
RECONSTRUÇÃO DE VAGINA (CLITOROPLASTIA)	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RECONSTRUÇÃO DO CAP			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
RECONSTRUÇÃO DO TENDÃO PATELAR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RECONSTRUÇÃO DO TENDÃO PATELAR/TENDÃO QUADRICIPITAL 	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
RECONSTRUÇÃO DO TRANSITO INTESTINAL	 682,45 	 1.560,97 					 682,45 	 1.560,97 	 1.560,97 
RECONSTRUÇÃO DO TRÂNSITO INTESTINAL	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RECONSTRUÇÃO ENTEROSTOMIA	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
RECONSTRUCAO MAMARIA	 2.226,75 	 3.951,22 					 2.226,75 	 3.951,22 	 3.951,22 
RECONSTRUÇÃO TOTAL DA ORELHA	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RECONSTRUÇÃO VAGINAL - CORREÇÃO CIRURGICA DE PROLAPSO CUPULA VAGINAL	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
RECOSNTRUÇÃO DE MAMILO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
REFINAMENTO CICATRICIAL DE LABIO SUPERIOR	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
REMOÇÃO DE MATERIAL DE SINTESE EM MIE	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
REPARO DE MANGUITO ROTADOR			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
REPARO DE MANGUITO ROTADOR 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
REPARO DE ROTULA DE MANGUITO ROTADOR	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
REPARO DE ROTURA DE MANGUITO ROTADOR	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
REPARO DE ROTURA DO MANGUITO ROTADOR	 2.297,66 	 5.128,55 	 682,45 	 1.560,97 	 136,52 	 496,58 	 3.116,62 	 7.186,10 	 7.868,55 
REPARO DE ROTURA DO MANGUITO ROTADOR 	 1.413,65 	 2.475,33 					 1.413,65 	 2.475,33 	 2.475,33 
REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
REPARO DE ROTURA NO MANGUITO ROTADOR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
REPARO DO MANGUITO ROTADOR ESQUERDO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
REPOSICIONAMENTO DE SONDA JEJUNAL			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
RESSECÇAO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO AMPLA DE CICATRIZ + RESSECÇÃO DE LESÃO DE PELE + LINFADENECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE CISTO DO COURO CABELUDO 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
RESSECÇÃO DE CISTO SINOVIAL			 409,48 	 1.028,77 			 409,48 	 1.028,77 	 1.438,26 
RESSECÇÃO DE CISTO SINOVIAL 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE DUCTO MAMÁRIO	 545,94 	 1.064,39 	 409,48 	 1.028,77 			 955,42 	 2.093,17 	 2.502,65 
RESSECCAO DE GLANDULA SALIVAR	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
RESSECÇÃO DE GLANDULA SALIVAR	 1.304,98 	 2.700,07 	 545,94 	 1.064,39 			 1.850,91 	 3.764,47 	 4.310,40 
RESSECÇÃO DE GLOMO TIMPÂNICO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RESSECÇÃO DE GLOMUS TIMPÂNICO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE LESÃO AEM CAVIDADE ORAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE LESÃO DE COURO CABELUDO			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
RESSECÇAO DE LESAO DE PELE (NERVUS)	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE LESÃO EM FACE	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RESSECÇÃO DE LESÃO EM MAMILO 	 271,03 	 491,96 	 353,41 	 618,83 			 624,45 	 1.110,80 	 1.464,21 
RESSECÇÃO DE LESÃO EM OMBRO ESQUERDO E RETALHO LOCAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE LESÃO EM PALPEBRA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE LESÃO EM REGIÃO FRONTAL DIREITO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE LESAO MALIGNA E BENIGNA DA REGIAO CRANIO E BUCOMAXILOFACIAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE MAMA AXILAR DIREITA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE MICROCALCIFICAÇÕES	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE QUELÓIDE	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE QUELOIDE EM ANTE-HÉLICE DIREITA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE SARCOMA RECIDIVADO EM HEMITÓRAX ESQUERDO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
"RESSECÇÃO DE TU BENIGNO (GASTROCNÊMIO MEDIAL ""D"") - CÓD 2"	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RESSECÇÃO DE TU DE LABIO INFERIOR + ESVAZIAMENTO CERVICAL + RECONSTRUÇÃO DE LABIO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
RESSECÇÃO DE TU DE PARTES MOLES	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
RESSECÇÃO DE TU DE PELE	 706,82 	 1.237,66 					 706,82 	 1.237,66 	 1.237,66 
RESSECÇÃO DE TU EM PARTES MOLES	 706,82 	 1.237,66 	 353,41 	 618,83 			 1.060,23 	 1.856,50 	 2.209,91 
RESSECÇÃO DE TU NASAL + RETALHO LOCAL	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
RESSECÇÃO DE TU RETO PERITONIAL	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
RESSECÇÃO DE TUMOR DE ASSOALHO DA BOCA + RECONSTRUÇÃO 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE TUMOR DE LINGUA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
RESSECÇÃO DE TUMOR DE MEDIASTINO	 680,58 	 1.981,69 			 272,97 	 532,20 	 953,55 	 2.513,89 	 2.513,89 
RESSECÇÃO DE TUMOR DE MEDIASTINO 	 1.364,84 	 2.660,98 	 136,52 	 496,58 			 1.501,36 	 3.157,56 	 3.294,07 
RESSECÇÃO DE TUMOR DE PAREDE TORACICA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECÇÃO DE TUMOR DE PARTES MOLES - PÉ DIREITO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RESSECCAO DE TUMOR DE PARTES MOLES EM ONCOLOGIA	 635,51 	 2.058,56 					 635,51 	 2.058,56 	 2.058,56 
RESSECÇÃO DE TUMOR DE PELE	 1.329,04 	 2.784,72 	 678,62 	 1.340,79 			 2.007,67 	 4.125,51 	 4.804,13 
RESSECÇÃO DE TUMOR DE PELE + RETALHO 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
RESSECÇAÕ DE TUMOR DE PELE EM ASA NASAL + RECONSTRUÇÃO 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE TUMOR E RECONSTRUÇÃO COM RETALHO	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
RESSECÇÃO DE TUMOR EM DORSO + RECONSTRUÇÃO  	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
RESSECÇAO DE TUMOR EM FRONTE E + ENXERTO CULTANEO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
RESSECÇÃO DE TUMOR EM PERNA ESQUERDA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RESSECÇÃO DE TUMOR MALIGNO RETROPERITONEAL + NEFRECTOMIA	 682,58 	 2.482,88 					 682,58 	 2.482,88 	 2.482,88 
RESSECÇAO DE TUMOR ÓSSEO	 1.059,18 	 3.430,94 					 1.059,18 	 3.430,94 	 3.430,94 
RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (APENAS MÃO E PÉ)	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
RESSECÇÃO DE TUMOR ÓSSEO EM FÊMUR DISTAL ESQUERDO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE TUMOR RETROPERITONEAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RESSECÇÃO DE TUMORAÇÃO COM ROTAÇÃO DE RETALHO	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
RESSECÇÃO ENDOSCOPICA DE BEXIGA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO ENDOSCÓPICA DE BEXIGA - NEOPLASIA DE BEXIGA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RESSECÇÃO ENDOSCÓPICA DE LESÃO VESICAL EM ONCOLOGIA	 635,51 	 2.058,56 					 635,51 	 2.058,56 	 2.058,56 
RESSECCAO ENDOSCOPICA DE PROSTATA	 5.419,84 	 13.690,95 	 560,19 	 1.868,95 	 136,52 	 496,58 	 6.116,54 	 16.056,47 	 16.616,66 
RESSECÇÃO ENDOSCOPICA DE PROSTATA	 225,86 	 308,00 	 136,52 	 496,58 			 362,38 	 804,57 	 941,09 
RESSECÇÃO ENDOSCÓPICA DE PROSTATA	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
RESSECÇÃO ENDOSCÓPICA DE PRÓSTATA - RTU			 273,03 	 993,15 			 273,03 	 993,15 	 1.266,18 
RESSECÇAO ENDOSCOPICA DE TUMOR VESICAL	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
RESSECCAO ENDOSCOPICA DE TUMOR VESICAL EM ONCOLOGIA	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
RESSECÇÃO SIMPLES DE TUMOR OSSEO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES	 635,51 	 2.058,56 					 635,51 	 2.058,56 	 2.058,56 
RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES (OSTEOCONDROMA EM OMBRO DIREITO)	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES EM ÚMERO D	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇAO SIMPLES DE TUMOR ÓSSEO DE PARTES MOLES	 271,03 	 491,96 	 271,03 	 491,96 			 542,07 	 983,93 	 1.254,96 
RESSECÇÃODELESÃO SIGUIMENTADA  EM FACE 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
RESSUTURA DE MAMA DIREITA			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
RESSUTURA DE PAREDE ABDOMINAL	 626,38 	 1.151,03 					 626,38 	 1.151,03 	 1.151,03 
RESSUTURA DE PAREDE ABDOMINAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RESSUTURA EM MASTECTOMIA	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
RESTAURAÇÃO + EXTRAÇÕES 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RESTAURAÇÕES + EXTRAÇÕES	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
RESTAURAÇÕES SOB ANESTESIA GERAL OU EXTRAÇÃO MÚLTIPLA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RET PLACA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RETIRADA  DE LIPOMA 	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RETIRADA DE CAPUCHÃO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RETIRADA DE CATAETER DUPLO J	 1.364,84 	 2.660,98 	 272,97 	 532,20 			 1.637,81 	 3.193,18 	 3.466,15 
RETIRADA DE CATETER DUPLO J	 3.615,85 	 8.888,62 	 813,10 	 1.475,89 			 4.428,95 	 10.364,52 	 11.177,62 
RETIRADA DE CATETER TENCKHOFF			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
RETIRADA DE CORPO ESTRANHO	 1.763,72 	 3.393,04 	 225,86 	 308,00 			 1.989,59 	 3.701,03 	 3.926,90 
RETIRADA DE CORPO ESTRANHO BEXIGA (DUPLO J). 	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
RETIRADA DE CORPO ESTRANHO EM MÃO D	 136,52 	 496,58 	 225,86 	 308,00 			 362,38 	 804,57 	 1.030,44 
RETIRADA DE CORPO ESTRANHO EM REGIÃO AXILAR					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR	 1.059,18 	 3.430,94 					 1.059,18 	 3.430,94 	 3.430,94 
RETIRADA DE DUPLO J	 1.864,17 	 4.012,51 	 353,41 	 618,83 			 2.217,58 	 4.631,34 	 4.984,76 
RETIRADA DE DUPLO J 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RETIRADA DE NEVUS EM REGIÃO NASAL	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RETIRADA DE NODULO LIPOMATOSO EM REGIAO TORACICA ESQUERDA E COXA DIREITA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RETIRADA DE NÓDULO PRESENTE NO QUADRANTE INFERIOR INTERNO DA MAMA ESQUERDA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
RETIRADA DE PLACA E PARAFUSO	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
RETIRADA DE PLACA E/OU PARAFUSOS	 545,94 	 1.064,39 	 272,97 	 532,20 	 272,97 	 532,20 	 1.091,87 	 2.128,79 	 2.401,75 
RETIRADA DE PLOJETIL EM TRONCO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
RETIRADA DE PONTO OLHO D	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
RETIRADA DE PROJETIL DE ARMA DE FOGOEM 1º PODODACTILO ESQUERDO	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
RETIRADA DE PRÓTESE	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RETIRADA DE PROTESE (CPRE)	 273,03 	 993,15 	 273,03 	 993,15 			 546,07 	 1.986,30 	 2.259,33 
RETIRADA DE PROTESE POR COMPLICAÇÃO			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
RETIRADA DE QUELÓIDE EM PAVILHÃO AURICULAR DIREITO E JOELHO ESQUERDO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RETIRADA DE SEDENHO	 1.637,81 	 3.193,18 			 272,97 	 532,20 	 1.910,77 	 3.725,38 	 3.725,38 
RETIRADA DE SEDENHO - FISTULECTOMIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RETIRADA DE SONDA CRAWFORD 	 407,55 	 988,54 					 407,55 	 988,54 	 988,54 
RETIRADA DE TUMOR DE PELE	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
RETIRADA MATERIAL DE SINTESE + FRAGMENTO OSSEO 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RETOQUE DE CICATRIZ 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RETOSSIGMOIDCTEOMIA 			 451,73 	 615,99 			 451,73 	 615,99 	 1.067,72 
RETOSSIGMOIDECTOMIA	 4.052,89 	 7.513,86 	 903,45 	 1.231,99 	 225,86 	 308,00 	 5.182,21 	 9.053,84 	 9.957,30 
RETOSSIGMOIDECTOMIA 	 12.204,64 	 27.965,04 	 1.576,87 	 4.730,03 			 13.781,51 	 32.695,07 	 34.271,94 
RETOSSIGMOIDECTOMIA + AMPUTAÇÃO ABDOMINOPERINEAL	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RETOSSIGMOIDECTOMIA + COLECISTECTOMIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
REVISÃO DE NINFOPLASTIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RINOPLASTIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
RINOPLASTIA 	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
RITIDOPLASTIA 	 409,48 	 1.028,77 					 409,48 	 1.028,77 	 1.028,77 
RMS PARAFUSO INTRAARTICULAR + VIDEOARTROSCOPIA	 677,59 	 923,99 					 677,59 	 923,99 	 923,99 
ROTURA DE MANGUITO ROTADOR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
ROTURA DO TENDÃO DO SUPRAESPINHAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RTI	 451,73 	 615,99 			 225,86 	 308,00 	 677,59 	 923,99 	 923,99 
RTU DE BEXIGA	 3.346,75 	 6.662,04 	 904,45 	 1.788,50 			 4.251,20 	 8.450,54 	 9.354,99 
RTU DE PROSTATA	 6.344,72 	 13.873,93 	 1.361,04 	 3.041,47 	 908,32 	 1.868,97 	 8.614,07 	 18.784,37 	 20.145,40 
RUPTURA TRAUMÁTICA DO SE 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
SAFENECTOMIA	 1.228,48 	 2.078,37 	 325,21 	 721,96 	 225,86 	 308,00 	 1.779,56 	 3.108,33 	 3.433,54 
SEGMENTECTOMIA			 484,80 	 1.218,38 			 484,80 	 1.218,38 	 1.703,19 
SEPARAÇÃO DE NINFAS			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
SEPTO + TURBINE + FARINGOPLASTIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SEPTO + TURBINE+ ENDONASAL	 272,97 	 532,20 			 225,86 	 308,00 	 498,83 	 840,19 	 840,19 
SEPTOPLASTIA	 1.744,66 	 4.126,90 	 769,86 	 1.332,16 	 1.364,84 	 2.660,98 	 3.879,37 	 8.120,04 	 8.889,91 
SEPTOPLASTIA 	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
SEPTOPLASTIA + POLIPO MEATO MÉDIO  DIREITO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SEPTOPLASTIA + SINUSECTOMIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
SEPTOPLASTIA + TURBINECTOMIA	 5.807,35 	 12.393,88 	 3.424,04 	 8.309,63 	 1.270,63 	 2.212,58 	 10.502,02 	 22.916,10 	 26.340,14 
SEPTOPLASTIA + TURBINECTOMIA 	 407,55 	 988,54 	 813,10 	 1.475,89 			 1.220,65 	 2.464,43 	 3.277,53 
SEPTOPLASTIA + TURBINECTOMIA + AMIGDALECTOMIA	 1.629,39 	 3.911,19 	 362,38 	 804,57 			 1.991,77 	 4.715,76 	 5.078,14 
SEPTOPLASTIA + TURBINECTOMIA + AMÍGDALECTOMIA	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
SEPTOPLASTIA + TURBINECTOMIA + SINUSECTOMIA	 325,21 	 721,96 			 272,97 	 532,20 	 598,18 	 1.254,16 	 1.254,16 
SEPTOPLASTIA + TURBINECTOMIA + SINUSECTOMIA MAXILAR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
